charge,smiles,b,s,o,n,homo,lumo,gap,sheafHOMO,sheafLUMO,sheafGAP,electrons
0,[H]c1c([H])c([H])c2c([H])c3c([H])c4c5c6c(c([H])c([H])c7c6c([H])c([H])c6bc([H])c8c([H])c([H])c([H])c([H])c8c67)c-5c4c([H])c3c([H])c2c1[H],1,0,0,0,-5.6093,-2.1101,3.4992,2.3698,2.7019,0.33210000000000006,33.0
0,[H]B1c2bc([H])c([H])bc2-c2c1c([H])c1c([H])c([H])c3c([H])c([H])c([H])c([H])c3c1c2[H],3,0,0,0,-6.5755,-1.3818,5.1937,1.5809,1.9262,0.34529999999999994,18.0
0,[H]c1bc2c([H])c3c(c([H])c2c([H])c1[H])c1c([H])c([H])c2c([H])c([H])c([H])c([H])c2c1c1c2c([H])c([H])c([H])c([H])c2c2c(c31)=c1c([H])c([H])c([H])c([H])c1=2,1,0,0,0,-6.2776,-1.0938,5.1838,2.2978,2.6506,0.3527999999999998,35.0
0,[H]B1C([H])=C([H])c2c1c1c(c3c([H])c([H])c4c5bc([H])c([H])bc5c([H])c([H])c4c23)=c2c([H])c3c([H])c([H])c([H])c([H])c3c([H])c2=1,3,0,0,0,-6.0916,-1.9228,4.168799999999999,1.7217,2.0052,0.28349999999999986,28.0
0,[H]C1=C([H])c2c1c([H])bc1c([H])c3c([H])c([H])c4bc5c([H])c([H])c([H])c([H])c5bc4c3c([H])c21,3,0,0,0,-5.5415,-0.9065,4.635,1.7714,2.2678,0.49639999999999973,21.0
0,[H]B1C2=C([H])C([H])=C2B([H])c2c1c([H])c1bc3c4c(c5c6c([H])c([H])c([H])c([H])c6c6bc([H])c([H])bc6c5c3bc1c2[H])C([H])=C([H])B4[H],7,0,0,0,-5.5749,-2.48,3.0949000000000004,1.5916,1.7144,0.12280000000000002,28.0
0,[H]c1bc2c([H])c([H])c3c([H])c4c(c([H])c([H])c5c([H])c6c7c([H])c8c([H])c([H])c([H])c([H])c8c([H])c7c7c([H])c([H])c([H])c([H])c7c6c([H])c54)c([H])c3c2c([H])c1[H],1,0,0,0,-6.658,-0.8598,5.7982000000000005,1.9708,2.6384,0.6675999999999997,37.0
0,[H]B1c2c(c([H])c([H])c3c([H])c([H])c([H])bc23)-c2c([H])c([H])c3c(c21)c1c([H])c([H])c([H])c([H])c1c1c2c([H])c([H])c([H])bc2c([H])c([H])c31,3,0,0,0,-6.462,-1.7031,4.7589,1.7928,2.081,0.2882,30.0
0,[H]B1C([H])=C([H])c2c1c([H])c([H])c1c2c2c([H])c([H])c3bc([H])c([H])bc3c2c2c3bc([H])c([H])bc3c([H])c([H])c12,5,0,0,0,-5.6387,-2.073,3.5657,1.5926,1.6981,0.10549999999999993,24.0
0,[H]C1=c2c([H])bc3c([H])c4c([H])c5c([H])c([H])c([H])c([H])c5c([H])c4c([H])c3c2=C1[H],1,0,0,0,-5.5763,-1.0271,4.5492,2.2527,2.3331,0.08040000000000003,19.0
