smiles,HOMO_eV,LUMO_eV,GAP_eV,sheafHOMO,sheafLUMO,sheafGAP,electrons
c1ccc2ccccc2c1,-7.443,-0.194,7.249,1.382,2.618,1.236,10.0
c1ccc2c(c1)ccc1ccccc12,-7.351,-0.216,7.135,1.5858,2.6856,1.0997999999999999,14.0
c1ccc2cc3ccccc3cc2c1,-6.774,-0.891,5.883,1.6207,2.445,0.8242999999999998,14.0
c1ccc2c(c1)c1ccccc1c1ccccc21,-7.448,-0.194,7.255,1.7127,3.0,1.2873,18.0
c1ccc2c(c1)ccc1c3ccccc3ccc21,-7.09,-0.492,6.598,1.753,2.6344,0.8814,18.0
c1ccc2c(c1)ccc1ccc3ccccc3c12,-7.108,-0.574,6.533,1.7509,2.7384,0.9875,18.0
c1ccc2cc3c(ccc4ccccc43)cc2c1,-6.869,-0.812,6.057,1.7004,2.5543,0.8539000000000001,18.0
c1ccc2cc3cc4ccccc4cc3cc2c1,-6.326,-1.374,4.952,1.753,2.3473,0.5943000000000003,18.0
c1ccc2c(c1)ccc1c3ccccc3c3ccccc3c21,-6.997,-0.609,6.389,1.8761,2.7365,0.8603999999999998,22.0
c1ccc2c(c1)ccc1cc3ccc4ccccc4c3cc12,-6.959,-0.743,6.216,1.8189,2.6402,0.8213000000000001,22.0
c1ccc2cc3cc4c(ccc5ccccc54)cc3cc2c1,-6.43,-1.291,5.139,1.7819,2.4434,0.6615,22.0
c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,-6.008,-1.725,4.283,1.8294,2.2846,0.45520000000000027,22.0
c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c21,-7.097,-0.544,6.554,1.7844,2.6999,0.9155,22.0
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,-7.067,-0.473,6.594,1.7854,2.6371,0.8517000000000001,22.0
c1ccc2c(c1)ccc1ccc3ccc4ccccc4c3c12,-7.053,-0.577,6.476,1.7941,2.6941,0.9000000000000001,22.0
c1ccc2cc3c(ccc4ccc5ccccc5c43)cc2c1,-6.688,-1.001,5.687,1.8229,2.5563,0.7333999999999998,22.0
c1ccc2cc3c(ccc4cc5ccccc5cc43)cc2c1,-6.855,-0.788,6.068,1.7633,2.5297,0.7664,22.0
c1ccc2cc3c(ccc4c5ccccc5ccc34)cc2c1,-6.714,-0.956,5.758,1.824,2.5219,0.6979,22.0
c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1,-6.968,-0.777,6.191,1.7854,2.7038,0.9184000000000001,22.0
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,-6.922,-0.741,6.181,1.8199,2.6125,0.7925999999999997,22.0
c1ccc2c(c1)ccc1ccc3c4ccccc4c4ccccc4c3c12,-7.0,-0.636,6.364,1.8874,2.7442,0.8568000000000002,26.0
c1ccc2c(c1)ccc1c2ccc2c3ccc4ccccc4c3ccc12,-6.969,-0.613,6.355,1.8588,2.6229,0.7641,26.0
c1ccc2c(c1)ccc1c2ccc2c3ccccc3c3ccccc3c12,-7.054,-0.571,6.483,1.8865,2.7338,0.8472999999999999,26.0
c1ccc2c(c1)ccc1ccc3ccc4ccc5ccccc5c4c3c12,-6.996,-0.756,6.241,1.8572,2.7269,0.8697000000000001,26.0
c1ccc2cc3c(ccc4ccc5ccc6ccccc6c5c43)cc2c1,-6.671,-0.968,5.703,1.8416,2.5579,0.7163000000000002,26.0
c1ccc2cc3c(ccc4ccc5cc6ccccc6cc5c43)cc2c1,-6.485,-1.237,5.248,1.8756,2.5008,0.6252,26.0
c1ccc2cc3c(ccc4ccc5c6ccccc6ccc5c43)cc2c1,-6.732,-0.972,5.759,1.8378,2.5772,0.7393999999999998,26.0
c1ccc2cc3c(cc2c1)c1ccccc1c1cc2ccccc2cc13,-7.002,-0.834,6.168,1.8271,2.6698,0.8427,26.0
c1ccc2cc3c(ccc4cc5c(ccc6ccccc65)cc43)cc2c1,-6.792,-0.874,5.918,1.8663,2.548,0.6817,26.0
c1ccc2cc3c(ccc4cc5ccc6ccccc6c5cc43)cc2c1,-6.836,-0.869,5.967,1.8658,2.5712,0.7054000000000002,26.0
c1ccc2c(c1)ccc1cc3c(ccc4c5ccccc5ccc34)cc12,-6.785,-0.884,5.901,1.8378,2.5851,0.7473000000000001,26.0
c1ccc2c(c1)c1ccccc1c1c3ccccc3c3ccccc3c21,-6.814,-0.696,6.118,2.0,2.8482,0.8481999999999998,26.0
c1ccc2c(c1)ccc1cc3ccc4c5ccccc5ccc4c3cc12,-6.796,-0.887,5.909,1.8358,2.5993,0.7634999999999998,26.0
c1ccc2cc3c(ccc4c5ccccc5c5ccccc5c34)cc2c1,-6.61,-1.037,5.573,1.9302,2.5487,0.6185000000000003,26.0
c1ccc2cc3c(ccc4c3ccc3c5ccccc5ccc34)cc2c1,-6.759,-0.951,5.808,1.8384,2.5423,0.7039,26.0
c1ccc2cc3c(ccc4c5cc6ccccc6cc5ccc34)cc2c1,-6.52,-1.171,5.35,1.8762,2.466,0.5898000000000001,26.0
c1ccc2cc3c(ccc4c3ccc3ccc5ccccc5c34)cc2c1,-6.717,-0.96,5.757,1.8387,2.5563,0.7175999999999998,26.0
c1ccc2c(c1)ccc1cc3c4ccccc4c4ccccc4c3cc12,-7.024,-0.711,6.314,1.9098,2.7281,0.8183,26.0
c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2ccccc2c13,-6.742,-0.913,5.828,1.9151,2.6431,0.728,26.0
c1ccc2cc3c(cc2c1)c1ccccc1c1c2ccccc2ccc31,-6.771,-0.897,5.873,1.9148,2.6739,0.7591000000000001,26.0
c1ccc2c(c1)ccc1cc3c(ccc4ccc5ccccc5c43)cc12,-6.773,-0.933,5.84,1.8362,2.6364,0.8002,26.0
c1ccc2c(c1)ccc1cc3ccc4ccc5ccccc5c4c3cc12,-6.765,-0.939,5.827,1.8422,2.6367,0.7944999999999998,26.0
c1ccc2c(c1)ccc1c2c2ccccc2c2ccc3ccccc3c21,-6.884,-0.768,6.117,1.9422,2.7263,0.7841000000000002,26.0
c1ccc2cc3cc4c(ccc5ccc6ccccc6c54)cc3cc2c1,-6.324,-1.388,4.936,1.8659,2.4387,0.5728,26.0
c1ccc2cc3cc4c(ccc5cc6ccccc6cc54)cc3cc2c1,-6.48,-1.258,5.222,1.8118,2.4513,0.6394999999999997,26.0
c1ccc2cc3cc4c(ccc5c6ccccc6ccc45)cc3cc2c1,-6.348,-1.381,4.967,1.8665,2.4252,0.5586999999999998,26.0
c1ccc2cc3cc4c5ccccc5c5ccccc5c4cc3cc2c1,-6.506,-1.259,5.246,1.83,2.5403,0.7102999999999997,26.0
c1ccc2c(c1)ccc1cc3cc4c(ccc5ccccc54)cc3cc12,-6.526,-1.21,5.316,1.8588,2.5236,0.6648000000000001,26.0
c1ccc2c(c1)ccc1cc3cc4ccc5ccccc5c4cc3cc12,-6.531,-1.21,5.322,1.8582,2.5282,0.6699999999999999,26.0
c1ccc2cc3cc4cc5c(ccc6ccccc65)cc4cc3cc2c1,-6.1,-1.649,4.45,1.8409,2.3662,0.5253000000000001,26.0
c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1,-5.772,-1.985,3.787,1.8762,2.2411,0.3648999999999998,26.0
c1ccc2c(c1)ccc1c3ccc4ccccc4c3c3ccccc3c21,-6.938,-0.761,6.177,1.939,2.7303,0.7913000000000001,26.0
c1ccc2c(c1)ccc1c3ccccc3c3ccc4ccccc4c3c21,-6.898,-0.662,6.236,1.9451,2.6698,0.7246999999999999,26.0
